PassengerId,Survived,Pclass,Sex,Age
329,1,3,1,31.0
74,0,3,0,26.0
254,0,3,0,30.0
720,0,3,0,33.0
667,0,2,0,25.0
31,0,1,0,40.0
288,0,3,0,22.0
218,0,2,0,42.0
798,1,3,1,31.0
372,0,3,0,18.0
377,1,3,1,22.0
139,0,3,0,16.0
106,0,3,0,28.0
69,1,3,1,17.0
362,0,2,0,29.0
721,1,2,1,6.0
600,1,1,0,49.0
515,0,3,0,24.0
314,0,3,0,28.0
744,0,3,0,24.0
320,1,1,1,40.0
22,1,2,0,34.0
418,1,2,1,18.0
836,1,1,1,39.0
570,1,3,0,32.0
292,1,1,1,19.0
81,0,3,0,22.0
488,0,1,0,58.0
547,1,2,1,19.0
39,0,3,1,18.0
248,1,2,1,24.0
446,1,1,0,4.0
324,1,2,1,22.0
715,0,2,0,52.0
877,0,3,0,20.0
266,0,2,0,36.0
813,0,2,0,35.0
449,1,3,1,5.0
658,0,3,1,32.0
312,1,1,1,18.0
431,1,1,0,28.0
479,0,3,0,22.0
220,0,2,0,30.0
291,1,1,1,26.0
680,1,1,0,36.0
474,1,2,1,23.0
464,0,2,0,48.0
839,1,3,0,32.0
206,0,3,1,2.0
609,1,2,1,22.0
787,1,3,1,18.0
859,1,3,1,24.0
453,0,1,0,30.0
366,0,3,0,30.0
617,0,3,0,34.0
541,1,1,1,36.0
133,0,3,1,47.0
144,0,3,0,19.0
805,1,3,0,27.0
554,1,3,0,22.0
804,1,3,0,0.42
343,0,2,0,28.0
118,0,2,0,29.0
9,1,3,1,27.0
115,0,3,1,17.0
685,0,2,0,60.0
538,1,1,1,30.0
677,0,3,0,24.5
494,0,1,0,71.0
480,1,3,1,2.0
279,0,3,0,7.0
175,0,1,0,56.0
38,0,3,0,21.0
59,1,2,1,5.0
58,0,3,0,28.5
95,0,3,0,59.0
210,1,1,0,40.0
622,1,1,0,42.0
785,0,3,0,25.0
87,0,3,0,16.0
13,0,3,0,20.0
398,0,2,0,46.0
731,1,1,1,29.0
222,0,2,0,27.0
350,0,3,0,42.0
814,0,3,1,6.0
536,1,2,1,7.0
383,0,3,0,32.0
692,1,3,1,4.0
221,1,3,0,16.0
867,1,2,1,27.0
588,1,1,0,60.0
107,1,3,1,21.0
272,1,3,0,25.0
854,1,1,1,16.0
697,0,3,0,44.0
519,1,2,1,36.0
610,1,1,1,40.0
103,0,1,0,21.0
28,0,1,0,19.0
17,0,3,0,2.0
563,0,2,0,28.0
734,0,2,0,23.0
420,0,3,1,10.0
363,0,3,1,45.0
890,1,1,0,26.0
413,1,1,1,33.0
544,1,2,0,32.0
323,1,2,1,30.0
172,0,3,0,4.0
533,0,3,0,17.0
402,0,3,0,26.0
44,1,2,1,3.0
397,0,3,1,31.0
442,0,3,0,20.0
11,1,3,1,4.0
313,0,2,1,26.0
26,1,3,1,38.0
276,1,1,1,63.0
808,0,3,1,18.0
874,0,3,0,47.0
440,0,2,0,31.0
750,0,3,0,31.0
253,0,1,0,62.0
577,1,2,1,34.0
119,0,1,0,24.0
388,1,2,1,36.0
674,1,2,0,31.0
497,1,1,1,54.0
229,0,2,0,18.0
724,0,2,0,50.0
870,1,3,0,4.0
193,1,3,1,19.0
98,1,1,0,23.0
438,1,2,1,24.0
345,0,2,0,36.0
90,0,3,0,24.0
502,0,3,1,21.0
234,1,3,1,5.0
339,1,3,0,45.0
293,0,2,0,36.0
114,0,3,1,20.0
758,0,2,0,18.0
147,1,3,0,27.0
156,0,1,0,51.0
736,0,3,0,28.5
295,0,3,0,24.0
1,0,3,0,22.0
882,0,3,0,33.0
443,0,3,0,25.0
632,0,3,0,51.0
510,1,3,0,26.0
346,1,2,1,24.0
146,0,2,0,19.0
284,1,3,0,19.0
656,0,2,0,24.0
559,1,1,1,39.0
342,1,1,1,24.0
655,0,3,1,18.0
180,0,3,0,36.0
652,1,2,1,18.0
495,0,3,0,21.0
809,0,2,0,39.0
659,0,2,0,23.0
334,0,3,0,16.0
618,0,3,1,26.0
642,1,1,1,24.0
62,1,1,1,38.0
326,1,1,1,36.0
244,0,3,0,22.0
891,0,3,0,32.0
751,1,2,1,4.0
136,0,2,0,23.0
615,0,3,0,35.0
676,0,3,0,18.0
425,0,3,0,18.0
128,1,3,0,24.0
462,0,3,0,34.0
802,1,2,1,31.0
689,0,3,0,18.0
223,0,3,0,51.0
381,1,1,1,42.0
611,0,3,1,39.0
858,1,1,0,51.0
189,0,3,0,40.0
154,0,3,0,40.5
825,0,3,0,2.0
778,1,3,1,5.0
231,1,1,1,35.0
567,0,3,0,19.0
789,1,3,0,1.0
880,1,1,1,56.0
451,0,2,0,36.0
400,1,2,1,28.0
823,0,1,0,38.0
178,0,1,1,50.0
176,0,3,0,18.0
866,1,2,1,42.0
399,0,2,0,23.0
23,1,3,1,15.0
216,1,1,1,31.0
729,0,2,0,25.0
391,1,1,0,36.0
832,1,2,0,0.83
14,0,3,0,39.0
382,1,3,1,1.0
34,0,2,0,66.0
673,0,2,0,70.0
212,1,2,1,35.0
749,0,1,0,19.0
844,0,3,0,34.5
309,0,2,0,30.0
374,0,1,0,22.0
821,1,1,1,52.0
340,0,1,0,45.0
194,1,2,0,3.0
157,1,3,1,16.0
625,0,3,0,21.0
427,1,2,1,28.0
358,0,2,1,38.0
143,1,3,1,24.0
687,0,3,0,14.0
217,1,3,1,27.0
633,1,1,0,32.0
578,1,1,1,39.0
75,1,3,0,32.0
587,0,2,0,47.0
277,0,3,1,45.0
349,1,3,0,3.0
21,0,2,0,35.0
537,0,1,0,45.0
401,1,3,0,39.0
319,1,1,1,31.0
551,1,1,0,17.0
856,1,3,1,18.0
237,0,2,0,44.0
743,1,1,1,21.0
792,0,2,0,16.0
490,1,3,0,9.0
120,0,3,1,2.0
225,1,1,0,38.0
378,0,1,0,27.0
566,0,3,0,24.0
727,1,2,1,30.0
629,0,3,0,26.0
627,0,2,0,57.0
790,0,1,0,46.0
568,0,3,1,29.0
7,0,1,0,54.0
875,1,2,1,28.0
61,0,3,0,22.0
883,0,3,1,22.0
682,1,1,0,27.0
214,0,2,0,30.0
19,0,3,1,31.0
64,0,3,0,4.0
863,1,1,1,48.0
818,0,2,0,31.0
4,1,1,1,35.0
595,0,2,0,37.0
545,0,1,0,50.0
395,1,3,1,24.0
822,1,3,0,27.0
353,0,3,0,15.0
123,0,2,0,32.5
356,0,3,0,28.0
626,0,1,0,61.0
281,0,3,0,65.0
35,0,1,0,28.0
855,0,2,1,44.0
328,1,2,1,36.0
68,0,3,0,19.0
454,1,1,0,49.0
286,0,3,0,33.0
52,0,3,0,21.0
198,0,3,0,42.0
294,0,3,1,24.0
857,1,1,1,45.0
470,1,3,1,0.75
463,0,1,0,47.0
219,1,1,1,32.0
759,0,3,0,34.0
637,0,3,0,32.0
666,0,2,0,32.0
243,0,2,0,29.0
762,0,3,0,41.0
772,0,3,0,48.0
562,0,3,0,40.0
881,1,2,1,25.0
593,0,3,0,47.0
862,0,2,0,21.0
748,1,2,1,30.0
770,0,3,0,32.0
89,1,1,1,23.0
584,0,1,0,36.0
211,0,3,0,24.0
592,1,1,1,52.0
205,1,3,0,18.0
387,0,3,0,1.0
240,0,2,0,33.0
635,0,3,1,9.0
456,1,3,0,29.0
481,0,3,0,9.0
807,0,1,0,39.0
653,0,3,0,21.0
192,0,2,0,19.0
696,0,2,0,52.0
735,0,2,0,23.0
282,0,3,0,28.0
607,0,3,0,30.0
718,1,2,1,27.0
132,0,3,0,20.0
531,1,2,1,2.0
529,0,3,0,39.0
703,0,3,1,18.0
730,0,3,1,25.0
97,0,1,0,71.0
145,0,2,0,18.0
513,1,1,0,36.0
861,0,3,0,41.0
149,0,2,0,36.5
71,0,2,0,32.0
191,1,2,1,32.0
507,1,2,1,33.0
843,1,1,1,30.0
258,1,1,1,30.0
608,1,1,0,27.0
647,0,3,0,19.0
766,1,1,1,51.0
695,0,1,0,60.0
10,1,2,1,14.0
726,0,3,0,20.0
51,0,3,0,7.0
572,1,1,1,53.0
174,0,3,0,21.0
317,1,2,1,24.0
380,0,3,0,19.0
679,0,3,1,43.0
683,0,3,0,20.0
461,1,1,0,48.0
79,1,2,0,0.83
140,0,1,0,24.0
650,1,3,1,23.0
661,1,1,0,50.0
799,0,3,0,30.0
327,0,3,0,61.0
834,0,3,0,23.0
373,0,3,0,19.0
606,0,3,0,36.0
521,1,1,1,30.0
190,0,3,0,36.0
546,0,1,0,64.0
846,0,3,0,42.0
555,1,3,1,22.0
851,0,3,0,4.0
332,0,1,0,45.5
781,1,3,1,13.0
448,1,1,0,34.0
797,1,1,1,49.0
53,1,1,1,49.0
158,0,3,0,30.0
535,0,3,1,30.0
524,1,1,1,44.0
620,0,2,0,26.0
384,1,1,1,35.0
247,0,3,1,25.0
439,0,1,0,64.0
185,1,3,1,4.0
184,1,2,0,1.0
662,0,3,0,40.0
871,0,3,0,26.0
678,1,3,1,18.0
436,1,1,1,14.0
586,1,1,1,18.0
404,0,3,0,28.0
232,0,3,0,29.0
153,0,3,0,55.5
760,1,1,1,33.0
179,0,2,0,30.0
852,0,3,0,74.0
246,0,1,0,44.0
347,1,2,1,40.0
367,1,1,1,60.0
504,0,3,1,37.0
152,1,1,1,22.0
228,0,3,0,20.5
252,0,3,1,29.0
552,0,2,0,27.0
310,1,1,1,30.0
522,0,3,0,22.0
796,0,2,0,39.0
162,1,2,1,40.0
506,0,1,0,18.0
848,0,3,0,35.0
700,0,3,0,42.0
273,1,2,1,41.0
812,0,3,0,39.0
686,0,2,0,25.0
815,0,3,0,30.5
694,0,3,0,25.0
485,1,1,0,25.0
865,0,2,0,24.0
645,1,3,1,0.75
333,0,1,0,38.0
556,0,1,0,62.0
628,1,1,1,21.0
142,1,3,1,22.0
289,1,2,0,42.0
780,1,1,1,43.0
468,0,1,0,56.0
290,1,3,1,22.0
737,0,3,1,48.0
396,0,3,0,22.0
516,0,1,0,47.0
801,0,2,0,34.0
447,1,2,1,13.0
322,0,3,0,27.0
351,0,3,0,23.0
473,1,2,1,33.0
483,0,3,0,50.0
280,1,3,1,35.0
849,0,2,0,28.0
732,0,3,0,11.0
598,0,3,0,49.0
435,0,1,0,50.0
639,0,3,1,41.0
878,0,3,0,19.0
824,1,3,1,27.0
806,0,3,0,31.0
763,1,3,0,20.0
755,1,2,1,48.0
702,1,1,0,35.0
111,0,1,0,47.0
303,0,3,0,19.0
201,0,3,0,28.0
664,0,3,0,36.0
50,0,3,1,18.0
684,0,3,0,14.0
213,0,3,0,22.0
765,0,3,0,16.0
756,1,2,0,0.67
842,0,2,0,16.0
121,0,2,0,21.0
709,1,1,1,22.0
298,0,1,1,2.0
723,0,2,0,34.0
582,1,1,1,39.0
699,0,1,0,49.0
786,0,3,0,25.0
256,1,3,1,29.0
493,0,1,0,55.0
500,0,3,0,24.0
757,0,3,0,28.0
270,1,1,1,35.0
5,0,3,0,35.0
800,0,3,1,30.0
690,1,1,1,15.0
125,0,1,0,54.0
722,0,3,0,17.0
511,1,3,0,29.0
636,1,2,1,28.0
63,0,1,0,45.0
42,0,2,1,27.0
249,1,1,0,37.0
168,0,3,1,45.0
36,0,1,0,42.0
788,0,3,0,8.0
287,1,3,0,30.0
621,0,3,0,27.0
475,0,3,1,22.0
361,0,3,0,40.0
527,1,2,1,50.0
492,0,3,0,21.0
746,0,1,0,70.0
631,1,1,0,80.0
173,1,3,1,1.0
82,1,3,0,29.0
596,0,3,0,36.0
161,0,3,0,44.0
868,0,1,0,31.0
660,0,1,0,58.0
85,1,2,1,17.0
16,1,2,1,55.0
196,1,1,1,58.0
55,0,1,0,65.0
624,0,3,0,21.0
477,0,2,0,34.0
233,0,2,0,59.0
269,1,1,1,58.0
70,0,3,0,26.0
422,0,3,0,21.0
371,1,1,0,25.0
315,0,2,0,43.0
583,0,2,0,54.0
576,0,3,0,19.0
888,1,1,1,19.0
337,0,1,0,29.0
250,0,2,0,54.0
204,0,3,0,45.5
701,1,1,1,18.0
505,1,1,1,16.0
605,1,1,0,35.0
134,1,2,1,29.0
713,1,1,0,48.0
489,0,3,0,30.0
2,1,1,1,38.0
835,0,3,0,18.0
707,1,2,1,45.0
104,0,3,0,33.0
255,0,3,1,41.0
45,1,3,1,19.0
643,0,3,1,2.0
540,1,1,1,22.0
575,0,3,0,16.0
457,0,1,0,65.0
117,0,3,0,70.5
424,0,3,1,28.0
711,1,1,1,24.0
433,1,2,1,42.0
300,1,1,1,50.0
15,0,3,1,14.0
394,1,1,1,23.0
754,0,3,0,23.0
487,1,1,1,35.0
341,1,2,0,2.0
209,1,3,1,16.0
884,0,2,0,28.0
810,1,1,1,33.0
616,1,2,1,24.0
872,1,1,1,47.0
638,0,2,0,31.0
306,1,1,0,0.92
714,0,3,0,29.0
708,1,1,0,42.0
235,0,2,0,24.0
604,0,3,0,44.0
646,1,1,0,48.0
76,0,3,0,25.0
601,1,2,1,24.0
706,0,2,0,39.0
316,1,3,1,26.0
25,0,3,1,8.0
392,1,3,0,21.0
581,1,2,1,25.0
203,0,3,0,34.0
344,0,2,0,25.0
238,1,2,1,8.0
484,1,3,1,63.0
520,0,3,0,32.0
623,1,3,0,20.0
430,1,3,0,32.0
386,0,2,0,18.0
828,1,2,0,1.0
163,0,3,0,26.0
831,1,3,1,15.0
126,1,3,0,12.0
466,0,3,0,38.0
113,0,3,0,22.0
580,1,3,0,32.0
409,0,3,0,21.0
267,0,3,0,16.0
589,0,3,0,22.0
151,0,2,0,51.0
771,0,3,0,24.0
24,1,1,0,28.0
876,1,3,1,15.0
93,0,1,0,46.0
135,0,2,0,25.0
338,1,1,1,41.0
549,0,3,0,33.0
131,0,3,0,33.0
